위치,업소명,리뷰
서울 광진구 뚝섬로 688 1층,진국,"구의역 근처에 진짜 맛있는 설렁탕집 발견했어요! 24시간 동안 소기름을 제거해서 그런지 느끼하지 않고 깔끔한 국물 맛이 일품이에요. 

무릎도가니로 우려낸 국물이 진하면서도 담백해서 한 숟가락에 입맛 돋구는 느낌?

고기도 부드럽고 쫄깃한 면발까지 완벽해요. 게다가 칼로리도 200kcal 미만이라니 다이어트 중인 사람들한테 딱이에요! 

반찬 셀프코너도 있어서 깍두기, 마늘장아찌 마음껏 먹을 수 있더라고요. 분명 또 올 맛집입니다 👍 접기"
서울 광진구 뚝섬로 688 1층,진국,추운날 뜨뜻한 설렁탕 땡길때 가는곳
서울 광진구 뚝섬로 688 1층,진국,맛있고 친절하세요
서울 광진구 뚝섬로 688 1층,진국,"동네 맛집
입소문이 안나서 아직은 한산 하니 유명 해 지기 전에 가보세요...
주차장은 따로 없으니 차 놓고 오시길..."
서울 광진구 뚝섬로 688 1층,진국,"맛☆☆☆☆
서비스☆☆☆
나름 몇없는 설렁탕집인데 입소문나면좋겠다"
서울 광진구 뚝섬로 688 1층,진국,맛있어요~
서울 광진구 뚝섬로 688 1층,진국,국물도 깔끔하고 고기도 맛있고 소면도 들어있고 김치들도 맛있어요
서울 광진구 뚝섬로 688 1층,진국,"머 다른 말할거 없습니다 그냥 맛있고 친절하십니다
먹고 1년동안 먹고 한번도 후회한적 없는거 같습니다"
서울 광진구 구의강변로 50,명가옥,"김치 진짜 맛있네.. 국밥집은 김치로 좌우됨
만두도 맛있다"
서울 광진구 구의강변로 50,명가옥,양적다고 느낄수도 불친절하다고 느낄수도 김치 무 설렁탕 고기 (: *맛탱 ㅎㅎㅎ
서울 광진구 구의강변로 50,명가옥,먹고 기운이나는 설농탕
서울 광진구 구의강변로 50,명가옥,"설렁탕 11,000원
가성비대비 양호함~"
서울 광진구 구의강변로 50,명가옥,굉장히 불친절 양적음 맛도 그저그런 설렁탕
서울 광진구 구의강변로 50,명가옥,설랑탕 먹으려고 인도위에다가 차세워야 되겠냐?뒤에 5분당 300원하는 노상주차장 있는데 참 돈은 내기 싫고 차는 갖고 싶고 걷기는 싫고 그지들 4만원이나 더 받고 많이 먹어라
서울 광진구 구의강변로 50,명가옥,진한 설렁탕이랑 매운갈비찜 생각날때마다 여기서 먹어요. 추천
서울 광진구 구의강변로 50,명가옥,"예전에 설렁탕 그럭저럭 괜찮아서 양대창전골 있길래
한번 먹어보고싶어서 얼마전 처음 먹었는데 
국물 떠먹고 깊은맛도 안나고 이도저도 아닌 애매한?그래도 맛없는건 술안주니까 대충 먹으려고했어요
근데 건더기 처음 건져먹는다고 곱창 먹었는데 씹자마자 냄새 비위올라오고
왠만하면 먹는데..도저히 못먹겠어서 뱉고 
같이 간사람도 예민한편도 아니고 왠만하면 먹는데
진짜 이건 아닌거 같다고ㅜ
종업원께 말했더니 조금 덜어가 주방에서 맛보고 하더니
상품엔 문제가 없다고..일반 곱창이랑 다르다나?
근데 먹다가 토할것같이 이상하던데..
못먹을꺼 같아 술이랑 다남기고 싼음식도 아닌데..5만원 넘게 그냥 주고 왔네요
여태 곱창집 그렇게 다녔어도 못먹은적도 없고 이런적은처음
여긴 다신 안가요
서비스도 엉망..홀에 애들 뛰어다니고 입구에서 뭐돌리는데 가만히 있고
진심 좀 개선해야되지싶어요
왠만하면 이런글 안남기는데 정말 불편했어서 한마디 남깁니다 접기"
서울 광진구 구의강변로 50,명가옥,"가격에 비에 양이 너무 적고 불친절 합니다. 몇년째 가다가 이제는 정말 안가렵니다.  돈, 시간 낭비 하지 마시고 딴데 가세요..."
서울 광진구 구의강변로 50,명가옥,만족합니다
서울 광진구 구의강변로 50,명가옥,맛 만 있구만. 해장에 좋고
서울 광진구 구의강변로 50,명가옥,"진짜 푹 곤 국물.
애기가 먹고 또 사달라고 할 정도로 진국.
프림? 그런거 안 넣고 진짜 뼈를 고아서 
체인점처럼 기름지지 않고
깔끔해서 국물만 마셔도 좋아요 접기"
서울 광진구 구의강변로 50,명가옥,맹물에 밥 말아먹는거 좋아하시면 추천
서울 광진구 천호대로 813 신성빌딩,신선설농탕 광나루역점,주차 가능. 급히 뜨뜻한거 먹을 때 좋음. 가성비는...
서울 광진구 천호대로 813 신성빌딩,신선설농탕 광나루역점,양이 점점 작아지네요ㅡㅡ   넉넉하게 궁물좀 주세요..대표님!
서울 광진구 천호대로 813 신성빌딩,신선설농탕 광나루역점,"주차 가능함.
맛은 있지만... 조금 뭔가가 부족함 ..."
서울 광진구 천호대로 813 신성빌딩,신선설농탕 광나루역점,주차할 수 있고 일하시는 분들이 친절하셔서 기분좋게 식사할 수 있었습니다.
서울 광진구 천호대로 813 신성빌딩,신선설농탕 광나루역점,"주차하기 편하고 친절한것이 장점
본인은 맛에민감하진 않아서 맛없다고는 안느꼈는데 우유탄맛이 강해서 이게 설렁탕이맛나싶었음
같이간사람은 맛없다고 안먹었음
가격 가성비가 많이 안좋음 
19000원짜리 갈비탕먹었는데 지방에서 8천원짜리 먹는퀄리티였음
설렁탕도 국물 우려준게 다같은데 만원… 접기"
서울 광진구 천호대로 813 신성빌딩,신선설농탕 광나루역점,"영업시간 10시까지라고 나와있으나, 실제로는 9시40분까지라고 하며, 9시경부터는 몇몇 메뉴 제외하고 주문 안됩니다. 그리고 9시 넘어서 들어오신 분들 있었는데 돌려보내더라구요. 방문하실 분들 참고하세요."
서울 광진구 천호대로 813 신성빌딩,신선설농탕 광나루역점,"최상의 맛집만 엄선함!

구독하면 맛집 공유 함"
서울 광진구 천호대로 813 신성빌딩,신선설농탕 광나루역점,"ㅇ설농탕1인 기준 고기 양은 몇 조각 간식이에요. 
ㅇ땅콩가루 넣은 국물... 먹지만 안 맞아요. 
ㅇ내부는 청결한 것 같아요."
서울 광진구 천호대로 813 신성빌딩,신선설농탕 광나루역점,국물맛이 우유맛 같은 느낌이에요. 분유를 넣었나 싶을정도로.. 한번가고 방문하지 않아요.
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,맛있어요 애기도 잘먹었어요
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,"도가니탕 맛있게 먹음. 배추, 무김치도 맛남.
다만 집에서 우려서 먹었을때 입가에 남는 끈적함은 좀 덜 한편."
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,이돈주고 먹을맛은 아님 비쌈. 김치도그렇고.
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,갈비탕
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,가격은 비싼데 맛있습니다 부모님모시고 재방예정
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,"갈비탕 그가격 주고 먹을맛 아님
심지어 반 먹고 체함

주차때문에 밥먹다가 중간에 나갔다옴
주차 표시 잘 보이지도 않음
근데 차 빼라는 사장님 태도 쏘 별로

여러모로 기분 나쁜 식당 접기"
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,설렁탕 집입니다. 국물이 진합니다. 비쌉니다.
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,"솔직히 너무 실망  했어요.

이집 설렁탕 백번두 더먹었는데 

위생에 너무 신경 안쓰시네요

아주머니들 걸레만지신 손으로 파 담으시길래 

사장님한테  말씀드리니 그닥 별 신경 안쓰시는듯

직원들 바빠서 그런다 이해?

이건 아닙니다.

장수옥 또 오고싶어요.

 접기"
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,설렁탕집. 은은한 맛이 괜찮습니다. 그런데 카운터 보는 사장님이 너무 시끄럽네요. 목청도 원래 큰 듯하고. 탕은 좋습니다. 주차는 가게 뒤에 이면도로에 적당히 댈 수 있을것 같습니다.
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,"저만 느낀게 아니였네요,
불친절합니다. 아래 누가 불친절 하다고 못된사람들 이라고 쓰셨던데 밥먹으러 가서 
뭐 부탁하고 눈치 보는 경우는 처음이네요
서빙 보시는 여자분, 직원들끼리는 
아주 다정하고 사이 좋게 말씀하시던데 
저희 테이블은 왜 그렇게 틱틱거리거 불친절 하실까요.. 
맛만으로 그집이 맛집이 되는건 아니랍니다.
안가면 그만이죠^^ 접기"
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,"도가니탕 뼈만 이런거 2개 들어가있었네요
도가니만 있는게 아닌군요
포장했는데 김치가 따로 판매한다고 해서
국물을 두배준다고 적혀있던데 그딱 많지도 않아요
그냥 국물 적당히 주고 김치도 좀주면 좋겠어요
맛이야 기본은 한거같구요 접기"
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,"점심에 밥먹으러 갔다가 기분만 잡치고 나옴
4인 테이블이 한 두개 정도 비어있었고 아직 전 손님 그릇 치우는중이라 들어가려는데 카운터에 사장님인지 남자분이 몇명이냐고 물어봐서 혼자왔다 했더니 한분자리는 없다고 함…
뒤에 따라 들어오던 두명 손님 받겠다고 내쫒김 ㅋㅋㅋㅋ 이런데 첨이라 아주 당황스러운데 한편으로는 믿고 거를 수 있어서 다행이라고 해야하나..
 접기"
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,"이 집은 항상 사람이 많고,
 누구를 데리고 가도 맛이 깊다는 소리를 들어 좋아요~~ 맛집으로 인정해요~~~♡♡
항상 보면 직원들밖엔 없어서 친절하진않아요..키득키득"
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,진짜 배추김치 맛 이상해요.. 깍두기가 그나마 낫고.. 모르고 조금 덜었다가 저희 배추김치 다 남겼어요.
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,"평점이 왜 낮은가 했더니 딱 사이즈 나오는 가게네 집에서 먹으려고 포장했는데 집에 와보니 엥????? 밥이 없네?????빠뜨린건가 싶어서 전화했더니 밥 깍두기 원래 안준다고. ㅋㅋㅋㅋㅋ 그러면 가격은 빠진거냐고 물어봤더니 가격 똑같고 대신 육수 더 준거라고 ㅋㅋㅋ 참내 그러면 계산하거나 그럴때 왜 안알려줬냐 하니까 그거 써있다고 ㅋㅋㅋㅋ 
이양반들아 장사 그지같이 하네 진짜. 포장하면 홀서빙 안해도 되고 안치워도 되고 설거지 등등 아끼는 비용이 있는데 그걸 육수 조금 더 준걸로 셈을 치는데가 세상 어디에 있냐!! 밥 그거 얼마한다고 그리고 설렁탕 갈비탕을 깍두기맛으로 먹는건데 그것도 안주고 참내 말이 안나옴 ㅋㅋㅋㅋ 장사 그렇게 하지 말라고 해도 할꺼니까 그냥  담부터 안갈께요 ㅋㅋ 그냥 주변사람한테 팩트만 알려줄께요 알아서 가든지 말든지 하겠죠.  접기"
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,"두달 전쯤 한참 걸어서 찾아갔는데 주인이 왕인 불친절의 최고봉.
앉자 마자 수육 먹을지 도가니 먹을지 살짝 고민했는데 
우리 손님 많은데 메뉴를 왜 못정하냐는 식으로
나가려면 나가라는 식에 너무 기분 나빠서 불쾌했음.
국산 수육도 도가니도 아닌주제에 가격은 왜 저럼? 접기"
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,맛은 괜찮습니다. 그러나 가격 정도의 맛은 아닙니다. 더구나 동네 맛집으로 다들 힘들 때 자기만 살겠다고 여러 차례 가격을 급격하게 올린 거는 용서가 안됩니다
서울 광진구 용마산로 124 대영빌딩,가마솥도가니탕장수옥,여기 왜이렇게 평가 안좋음 못된사람들. 그렇게 말해도 꾸준히 손님 있는 이윤 다들 암
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,"국물에 분유좀 그만 넣어요..
너무 맛없음
게다가 가격은 강남가격
맛없고 비쌈 접기"
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,"주차공간 넓고 항상 친절히 대해주셔서 좋아요.
아이 둘 데리고가는데 첫째가 너무 좋아해서 일주일에 한번은 꼭 가고싶다고 해서 자주가는곳이에요.
맛김치 특히 맛있어서 설농탕에 맛김치 같이 먹어요~ 접기"
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,주차 편하게하고 음식 맛나게 먹을수 있어요.
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,신선이니 설농탕이니 이딴 데를 수없이 사주는 호구들이 천지니 기고만장이지
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,"이 동네에 올 때마다 여기 주차해두고 밥 먹고 근처 까페에서 커피 마셨는데,
밥 먹고나니 무조건 차 빼라고 뭐라 하네요.
완전 텅텅 빈 시간대였는데ㅜ
맛 때문에 다녔던 곳은 아니라서 앞으로 갈 일은 없을 듯 합니다. 접기"
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,점심식사
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,김치 더 달라고 했더니 날카로운 목소리로 남기시면 안되욧 앙칼지게 기분 나쁘게 말해서 먹기전부터 기분 나빴네요 남기면 고소할건가 지금 생각해도 기분 나쁨 더 친절하게 말하는 법을 연구하시길
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,"맛은 괜찮았는데 점장님이
먹는데 앓는소리하고 계산을 못하시네요
더하기 빼기좀 배우고 오셨으면 좋겠네요^^"
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,배민주문 20분 후에 가게사정이라고 일방적으로 주문취소해버리는 곳
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,여기 석박지 맛남
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,"가격은 매년 올리면서 깍두기는 1인당 3개주냐?
사진은 2인분짜리인데 깍두기가 7개다"
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,"별하나도 아깝네요
따끈한 설농탕을 보통 생각하지않나요?
근데 데워져서온 설롱탕이네요
맛은 뭔가  쉰듯한국물맛
비쥬얼은 가루탄국물 비쥬얼
배고파서 그냥 막 구겨넣음 
평소 국물좋아해서 국물많이먹는데
국물너무 맛없어서 못 먹음
이맛에 가격 9땡땡땡
절대가지마시길
 접기"
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,간단히 먹기 좋습니다
서울 광진구 자양로 139 신선설농탕자양점,신선설농탕 자양점,주차도 편하고 직원분들도 친절하시고 설렁탕도 맛있어요.
서울 광진구 강변역로4길 34,코끼리기사식당,돌솥비빔밥이랑 제육 시켰어요. 해산물을 안먹어서 비빔밥에 김이랑 반찬으로 나오는 김자반 미역국 빼달라고 말씀드렸더니 콩자반이랑 설렁탕 주셨어요ㅠㅠ 비빔밥 양념이 좀 부족했는지 살짝 싱거웠지만 친절하시고 맛있습니다~! 상추 주셨는데 사진에는 없네요. 가격 원산지는 사진 참고하세요~ 번창하시길! 접기
서울 광진구 강변역로4길 34,코끼리기사식당,"제육정식 맛있어요 상추도 많이 주시고 찬들도 나름 좋습니다

라고 리뷰를 22년8월에 작성했었는데
며칠전(22년9월1일) 가보니 이제 상추를 안주시네요
상추는 안주시냐고 물어보니 원래 상추는 안드린다고 둘러대시네요

그래도 맛은 있습니다

라고 리뷰를 작성했었는데 또 그 이후에 가니 상추를 주시네요 특정 직원분만 그랬었나봅니다 맛있게 먹고 왔어요 접기"
서울 광진구 강변역로4길 34,코끼리기사식당,택시나 버스기사들이 많이 이용하는 식당은 나름대로 그 이유가 있지 않을까요? 맛도 괜찮고 양도 푸짐하게 주니까 자주 이용하게 되는 것 같은데 기사님들이 너무 많이 이용하다 보니까 시끄러울 때가 많아 분위기는 그닥 좋다고는 할 수 없겠네요.
서울 광진구 강변역로4길 34,코끼리기사식당,"너무 불친절해요 먹고 있는데 갑자기 결제해라고 말 걸고, 손님에 대한 배려가 없네요.
파리 계속 날라다니고 위생은 더더욱 없음"
서울 광진구 강변역로4길 34,코끼리기사식당,"달고짜고맵고

전형적인 msg맛집?

근데 테이블 지저분하고
수저랑 컵 지저분함ㅠ 접기"
서울 광진구 강변역로4길 34,코끼리기사식당,진짜 맛있어요!! 제육덮밥 종종 먹었는데 또 가려고요
서울 광진구 강변역로4길 34,코끼리기사식당,"홀로 여행의 마무리 혼술은 이 곳 ㅋ. 기사식당이라 음식이 빠르고 푸짐하고 저렴한 편이다. 또 1인 식사가 또는 혼술러가 많아 혼자가도 눈치 않보이고 혼술 해도 좋다. 

바로 옆 동서울버스터미널 기사님들이 자주 오시니 뭐 맛이랑 신선도는 이미 입증(기사님들은 팔도를 돌아다니시니 입맛이 까다로움 ㅋ) 

아 이곳은 1인 찌게라도 휴대용버너에 올려줘서 운치있게 한잔가능 ㅋ 접기"
서울 광진구 강변역로4길 34,코끼리기사식당,"동서울터미널 지하에서 강변현대하이엘 아파트 상가 1층으로 이사했음. 터미널 하차장으로 나간다음에 왼쪽 작은도로를 건너면 나옴.
찌개가 다 맛있고 1인분 시켜도 즉석에서 부루스타에 끓여줍니다. 밑반찬들도 맛있음. 접기"
서울 광진구 능동로 403,대성가마솥순대국,"뻔히 보이는데도 반찬재사용하네요. 옆테이블 먹고 간 반찬접시를 가져가서 반찬통에 다시 탈탈탈
애초에 반찬을 조금씩 주고 제발 재사용좀 하지 맙시다! 입맛 뚝 떨이지네 정말. 
쌍팔년도도 아니고 언제까지 이럴겁니까 접기"
서울 광진구 능동로 403,대성가마솥순대국,"음식 주시는 순간 고기 잡내가 좀 나서 당황했지만 시간 지날수록 괜찮아졌고 맛도 요새 물가 기준 한 끼 만원정도 생각하면 나쁘지 않은 편
근데 물컹물컹했던 깍두기가 아쉬웠음..."
서울 광진구 능동로 403,대성가마솥순대국,"순대 들어 있다고 순대국이냐.
오후 세시넘어 늦점 했지만 씨ㅂ레 공기밥도 맛없는 곳이다."
서울 광진구 능동로 403,대성가마솥순대국,"인생 최악의 갈비탕
최악중에 최악이에요 
고기 거의없음."
서울 광진구 능동로 403,대성가마솥순대국,근처에서 정말 급하게 순댓국이 땡긴다면 가볼만 한 곳. 국물 간이 자체로 좀 많이 된 편. 토
서울 광진구 능동로 403,대성가마솥순대국,갈비탕 시켰는데 갈비가 거의 안나옴 그리고 아줌마 싸가지가 거의.. 이세상 싸가지가 아님. 갈비탕
서울 광진구 능동로 403,대성가마솥순대국,진짜 맛있어요 다른집하고 육수가 다름
서울 광진구 천호대로 546,다옴순대국&감자탕 군자점,"만두를 시키면 간장은 주셔야 하는 것 아닌가요? 
만두에 간이 되어 있다면서...간장에 되게 인색하시던데,
아래 리뷰도 보니 간장 안 주는 게 식당 메뉴얼인가요?
그럴 거면 만두를 판매하지 마셔야지요..

반찬도 짜증을 내시며 셀프바에서 가져다 먹으라 하는데,
셀프바가 주방 구석에 있던데. 매장 내에 반찬은 셀프라고 적어 놓으세요. 너무 불친절해요.

이 글을 매장 사장님이 좀 보셨으면 좋겠습니다. 접기"
서울 광진구 천호대로 546,다옴순대국&감자탕 군자점,○○○○ 식당  만두주문하고 간장달라니까 간되있다고 간장 없데 먹어보니 그냥 냉동느낌 맛도읍꼬 콩나물해장국시켰는데 6000짜리보다 맛은없음 이런식당 오랜만이네 ㅋㅋ
서울 광진구 천호대로 546,다옴순대국&감자탕 군자점,"종종 가는데 머리카락만 세번째 나옴,,맛은 그냥 그저 그런 무난한 곳이고요,,
집 근처 24시간 국밥집 만만하게 갈 곳이 ㅇㅕ기라 걍 감...
운 좋으면 머리카락 안나오겠지...위생 예민하신 분들 참고하시라고 후기 남겨요"
서울 광진구 천호대로 546,다옴순대국&감자탕 군자점,"리뷰가 왜 이러지?
내장탕 존맛탱
기본 반찬도 맛있음
자주 들르는 곳 접기"
서울 광진구 천호대로 546,다옴순대국&감자탕 군자점,"감자탕 시켰는데 뭔가 그냥 그런맛 볶음밥이 맛이 없다니 ,,"
서울 광진구 천호대로 546,다옴순대국&감자탕 군자점,그냥 최악임. 만원도 아까움. 퍽퍽하고 음식에서 냄새까지 나는 식당. 허위 정보도 올려놓는 곳
서울 광진구 천호대로 546,다옴순대국&감자탕 군자점,리뷰가 왜 이러죠? 이 가격에 이 정도맛이면 줄서서 먹는 대단한 맛집까진 아니어도 동네에선 꽤나 훌륭한 맛집입니다. 기본 반찬 오징어젓갈도 좋구요. 24시인 메리트까지 있네요. 잘 먹었습니다
서울 광진구 천호대로 546,다옴순대국&감자탕 군자점,"별점낮은덴이유가있다 ^^*
이제 절대안오려구염
늦게까지하는거빼고 장점없음"
